"lon","lat","OBJECTID_1","OBJECTID","NAME","ADDRESS","Shape_Leng"
"-83.088940414123272","42.323280403890095","1","1","Herbert Bowen","3648 W. Vernor","610.575893"
"-83.107408844878506","42.304600130045657","2","2","James Valentine Campbell","6625 W. Fort","460.267389"
"-82.974377901675595","42.401568590655344","3","3","Chandler Park","12800 Harper","1127.22281"
"-83.205354822566747","42.39520409658541","4","4","Henry Chaney","16101 Grand River","545.314629"
"-83.12730777767527","42.331926125720393","5","5","Edwin F. Conely","4600 Martin","887.41498"
"-83.046877644829536","42.333963352973448","6","6","Downtown Library","121 Gratiot","819.042481"
"-83.093337529634951","42.363307637133993","7","7","Divie B. Duffield","2507 W Grand Blvd","684.368197"
"-83.220499676425021","42.358093066742491","8","8","Thomas A. Edison","18400 Joy Rd.","505.978478"
"-83.02335876996203","42.340473152042726","9","9","Elmwood Park","550 Chene","2273.434932"
"-82.984038025989662","42.427134761166919","10","10","Benjamin Franklin","13651 E. McNichols","496.852463"
"-83.17283309238195","42.416383941318543","11","11","Bela Hubbard","12929 W. McNichols","495.190087"
"-83.060122003489496","42.414806171914776","12","12","Elisabeth Knapp","13330 Conant","1085.203972"
"-83.066710608495711","42.358401536711426","13","13","Main Library","5201 Woodward","2552.129206"
"-83.127401281943904","42.39676128428723","14","14","Francis Parkman","1766 Oakman Blvd","833.927672"
"-83.249251187045246","42.41358014911583","15","15","Redford","21200 Grand River","733.119242"
"-83.144173930358008","42.431272892187778","16","16","Sherwood Forest","7117 W. 7 Mile","621.908668"
"-83.029774355555205","42.433636605047226","17","17","Laura Ingalls Wilder","7140 E. 7 Mile","645.507525"
"-82.93737499175468","42.404016215551039","18","18","Jefferson","12350 E. Outer Drive","531.779128"
"-83.07422447595917","42.343105500110077","19","19","Douglass","3666 Grand River","1383.410121"
"-83.21764330161858","42.42978261191157","20","20","Jessie C. Chase","17731 W 7 Mile","625.883527"
