shapeid,lon,lat,regione,tot_incend,inc_2016,inc_2015,inc_2014,inc_2013,inc_2012,inc_2011,inc_2010,inc_2009
0,16.347432,39.067682,Calabria,5386,61,866,492,292,1069,1238,652,716
1,7.9231547,45.060559,Piemonte,1221,101,306,109,147,166,209,66,117
2,7.3872172,45.730203,Valle D'Aosta,73,1,14,6,4,12,16,7,13
3,9.7690220,45.620697,Lombardia,1234,106,234,93,92,262,227,82,138
4,13.055488,46.151568,Friuli V.Giulia,542,18,50,12,51,187,98,53,73
5,11.038126,44.525659,Emilia Romagna,513,10,51,26,34,167,120,19,86
6,8.7045476,44.264735,Liguria,1639,67,244,97,139,354,293,113,332
7,11.126372,43.450882,Toscana,2865,89,338,113,209,756,646,165,549
8,12.490007,42.965998,Umbria,494,4,57,7,21,186,123,40,56
9,13.137769,43.348048,Marche,227,3,24,4,14,70,84,9,19
10,14.14649,37.588458,Sicilia,6504,73,832,938,458,1271,1011,1159,762
11,9.030743,40.088416,Sardegna,3797,16,251,479,302,448,820,797,684
12,11.85830,45.651347,Veneto,473,20,50,15,31,164,69,25,99
13,11.28201,46.441482,Trentino A.Adige,292,18,31,10,38,65,43,39,48
14,12.76690,41.980105,Lazio,2886,60,414,211,198,715,609,354,325
15,13.85479,42.227374,Abruzzo,552,17,85,21,41,154,136,64,34
16,14.59529,41.684193,Molise,575,9,77,32,63,142,129,74,49
17,14.84042,40.859864,Campania,5724,98,933,307,319,1186,1435,543,903
18,16.61946,40.984469,Puglia,2913,16,436,217,357,557,580,473,277
19,16.08163,40.499837,Basilicata,1293,15,154,68,126,343,295,150,142
